,Unnamed: 0,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,new_arm1,new_arm2,also_arm1_to_remove,also_arm2_to_remove,arm1_has_approved_drugs,arm2_has_approved_drugs,Included,Reason
2,20,113,114,NCT00950365,Pharmacodynamic Separation of Pemetrexed and Erlotinib as Second-line Therapy in Patients With Advanced Non-small Cell Lung Cancer (NSCLC),,Unknown status,No Results Available,Non-small Cell Lung Cancer,Drug: Pemetrexed|Drug: pemetrexed and erlotinib,Progression-free survival|Objective response rate|Disease control rate|Safety profile of pemetrexed and erlotinib combination|Assessment of molecular markers for biologic effects and predictive response,Montefiore Medical Center|Eli Lilly and Company|OSI Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 2,82,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pemetrexed/Erlotinib,6-May,11-May,,31-Jul-09,,31-Jul-09,"University of Massachusetts, Worcester, Massachusetts, United States|Albert Einstein Cancer Center, Bronx, New York, United States|Montefiore Medical Center, Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT00950365,2.0,pemetrexed,pemetrexed and erlotinib,1,1,False,False,pemetrexed,pemetrexed and erlotinib,False,False,1.0,1.0,TRUE,
4,52,225,226,NCT00702182,Study of Oral Vinorelbine and Erlotinib in Non-Small Cell Lung Cancer,,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: Vinorelbine (Navelbine)|Drug: Erlotinib,Define the recommended dose of oral navelbine with erlotinib,"National Cancer Centre, Singapore",All,"21 Years and older   (Adult, Older Adult)",Phase 1,30,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EPCTG-VEP1,8-Apr,12-Apr,12-Oct,20-Jun-08,,19-Oct-12,"National Cancer Center Singapore, Singapore, Singapore",,https://ClinicalTrials.gov/show/NCT00702182,2.0,vinorelbine (navelbine),erlotinib,1,1,False,False,vinorelbine (navelbine),erlotinib,False,False,1.0,1.0,TRUE,
5,56,230,231,NCT00440414,Trial of Pemetrexed Versus Erlotinib in Pretreated Patients With Non Small Cell Lung Cancer (NSCLC),,Completed,No Results Available,Non Small Cell Lung Cancer,Drug: Erlotinib (Tarceva)|Drug: Pemetrexed (Alimta),Time to Tumor Progression|Overall response rate|Overall survival between the two treatment arms|Quality of life assessment|Toxicity profile between the two treatment arms,Hellenic Oncology Research Group|University Hospital of Crete,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,320,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/06.05,6-Apr,10-Apr,10-Apr,27-Feb-07,,19-Aug-10,"University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|IASO General Hospital of Athens, 1st Department of Medical Oncology, Athens, Greece|Laikon General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Department of Pulmonary Diseases, Athens, Greece|Sotiria General Hospital, 1st, 3rd, 8th Dep of Pulmonary Diseases, Athens, Greece|Metaxa's Anticancer Hospital of Piraeus,1st Dep of Medical Oncology, Piraeus, Greece|Theagenion Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00440414,2.0,erlotinib (tarceva),pemetrexed (alimta),1,1,False,False,erlotinib (tarceva),pemetrexed (alimta),False,False,1.0,1.0,TRUE,
8,86,368,369,NCT00908336,Erlotinib and Docetaxel in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) After Failure of One Chemotherapy Regimen,,Unknown status,No Results Available,Non-Small Cell Lung Cancer,Drug: Docetaxel and Erlotinib|Drug: Erlotinib,Percentage of patients without disease progression after 6 months of treatment.|Progression-free survival|Duration of Response|Overall Response Rate|Disease Control Rate|Overall survival|Safety profile,Hospital Arnau de Vilanova,All,"18 Years and older   (Adult, Older Adult)",Phase 2,70,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML25033,9-Mar,10-Aug,10-Dec,25-May-09,,25-May-09,"Hospital Virgen de los Lirios, Alcoy, Alicante, Spain|Hospital Clínica de Benidorm, Benidorm, Alicante, Spain|Hospital General de Elda, Elda, Alicante, Spain|Hospital Provincial de Castellón, Castellón de la Plana, Castellón, Spain|Hospital de Sagunto, Sagunto, Valencia, Spain|Hospital San Juan de Alicante, Alicante, Spain|Hospital Arnau de Vilanova, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT00908336,2.0,docetaxel and erlotinib,erlotinib,1,1,False,False,docetaxel and erlotinib,erlotinib,False,False,1.0,1.0,TRUE,
10,134,509,510,NCT01196078,A Study of Tarceva (Erlotinib) in Elderly Patients With Advanced Non-Small Cell Lung Cancer,,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: erlotinib [Tarceva]|Drug: vinorelbine,Percentage of Participants Achieving a Best Overall Response of Complete Response (CR) or Partial Response (PR)|Percentage of Participants Achieving Disease Control|Duration of Response Among Participants Who Achieved Either a CR or PR|Percentage of Participants With Disease Progression|Time to Disease Progression|Overall Survival: Percentage of Participants With an Progressive Disease or Death|Overall Survival: Time to Event|Quality of Life as Measured by the Functional Assessment of Cancer Therapy (FACT) Questionnaire|Changes in Quality of Life as Measured by the FACT Questionnaire|Percentage of Participants With Changes in Quality of Life as Measured by FACT Questionnaire Scores by Category of Change|Changes in Quality of Life as Assessed by FACT-L (Lung Symptoms) Questionnaire|Percentage of Participants With Changes in FACT-L (Lung Symptoms) by Category of Change,Hoffmann-La Roche,All,70 Years and older   (Older Adult),Phase 4,114,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML20322,7-Feb,10-Dec,10-Dec,8-Sep-10,27-Jul-15,27-Jul-15,"Taipei, Taiwan",,https://ClinicalTrials.gov/show/NCT01196078,2.0,erlotinib [tarceva],vinorelbine,1,1,False,False,erlotinib [tarceva],vinorelbine,False,False,1.0,1.0,TRUE,
11,139,553,554,NCT01350817,Erlotinib and Docetaxel in Second Line of Treatment in Patients With Non Small Cell Lung Cancer,TARSEQ,Completed,No Results Available,Non Small Cell Lung Cancer,Drug: Erlotinib + docetaxel|Drug: Docetaxel,Progression free survival at 15 weeks.|Free survival at 12 months|Toxicities and feasibility,"University Hospital, Limoges|Hoffmann-La Roche",All,"18 Years and older   (Adult, Older Adult)",Phase 2,156,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,I10004,11-May,13-Mar,14-Jan,10-May-11,,3-Apr-15,"Service de Pneumologie, CHU Angers, Angers, France|Service de pneumologie; Centre Hospitalier d'Annecy, Annecy, France|Service de Pneumologie; Centre Hospitalier, Beauvais, France|Service de Pneumologie, Beauvais, France|Service de Pneumologie, Bordeaux, France|CHU Brest, Brest, France|Service de Pneumologie, Charleville Mezière, France|Service de Pneumologie ; Centre hospitalier, Charleville-Mezieres, France|Service de Pneumologie, Créteil, France|Service de Pneumologie; Centre Hospitalier, Draguignan, France|Service de Pneumologie, Draguignan, France|Service de Pneumologie, Elbeuf, France|Service de Pneumologie, Gap, France|Département de Pathologie Respiratoire du CHU de Limoges, Limoges, France|Service de Pneumologie, Hôpital de la Croix Rousse, Lyon, France|Service de Pneumologie-Neurologie ; Centre Hospitalier F. Quesnay, Mantes La Jolie, France|Département des Maladies Respiratoires ; Hôpital Sainte Marguerite, Marseille, France|CH de Meaux, Meaux, France|Service de Pneumologie, Meaux, France|Service de Pneumologie, Mulhouse, France|Service de Pneumologie - Hôpital St Antoine, Paris, Paris, France|Service de Pneumologie-Allergologie; Centre Hospitalier Général, Perigueux, France|CHU Reims, Reims, France|Service de Pneumologie, Hôpital Pontchailloux, Rennes, France|Service de Pneumologie; CHG de Roanne, Roanne, France|Clinique Pneumologique; Hôpital Charles Nicolle, Rouen, France|Service de Pneumologie; Hôpital Bois Guillaume, Rouen, France|Hôpital Charles Nicolle, Service de Pneumologie, Rouen, France|Service de Pneumologie, Hôpital Nord, saint Etienne, France|Service de Pneumologie, Villefranche, France",,https://ClinicalTrials.gov/show/NCT01350817,2.0,erlotinib + docetaxel,docetaxel,1,1,False,False,erlotinib + docetaxel,docetaxel,False,False,1.0,1.0,TRUE,
12,153,601,602,NCT00976456,Efficacy Study of Avastin® With Pemetrexed +/- Carboplatin to Treat Elderly Patients With Non-small Cell Lung Cancer,65plus,Completed,Has Results,Non-squamous Non-small Cell Lung Cancer,Drug: Bevacizumab + Pemetrexed|Drug: Bevacizumab + Pemetrexed + Carboplatin,Progression Free Survival|Overall Survival,PD Dr. med. Wolfgang Schuette|Roche Pharma AG|Eli Lilly and Company|Martha-Maria Krankenhaus Halle-Dölau gGmbH,All,65 Years and older   (Older Adult),Phase 3,271,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,65 plus|ML21896,9-Sep,14-Oct,14-Oct,14-Sep-09,10-Mar-16,10-Mar-16,"Krankenhaus Martha-Maria Halle-Doelau, Halle, Germany",,https://ClinicalTrials.gov/show/NCT00976456,2.0,bevacizumab + pemetrexed,bevacizumab + pemetrexed + carboplatin,1,1,False,False,bevacizumab + pemetrexed,bevacizumab + pemetrexed + carboplatin,False,False,1.0,1.0,TRUE,
14,156,622,623,NCT00678964,Erlotinib Versus Carboplatin/Vinorelbine in Elderly Patients With Advanced Non-Small Cell Lung Cancer (NSCLC),TIE,Unknown status,No Results Available,Non-Small Cell Lung Cancer,Drug: Erlotinib|Drug: Vinorelbine and Carboplatin,"Evaluation of the progression free survival rate with the first-line therapy|Duration of remission|1-year survival|Overall survival|Response rate (CR/RR)|Quality of life, improvement of symptoms (FACT-L)|Simplified Charlsons´Comorbidity Score|Safety and Tolerability",LungenClinic Grosshansdorf,All,70 Years and older   (Older Adult),Phase 2,260,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EudraCT 2005-005827-32|ML19747,6-Jun,8-Nov,,16-May-08,,16-May-08,"Gemeinschaftspraxis, Augsburg, Germany|Zentralklinik Bad Berka GmbH, Bad Berka, Germany|Charité - Campus Benjamin Franklin, Berlin, Germany|Helios Klinikum Emil von Behring, Berlin, Germany|Evangelische Lungenklinik Berlin, Berlin, Germany|Evang. Krankenhaus Bielefeld, Bielefeld, Germany|Johanniter-Krankenhaus Bonn, Bonn, Germany|Gemeinschaftspraxis, Celle, Germany|Fachkrankenhaus Coswig, Coswig, Germany|Fachklinik Diekholzen, Diekholzen, Germany|Klinikum Donaustauf, Donaustauf, Germany|Katholisches Klinikum Duisburg, Duisburg, Germany|Marien Hospital Düsseldorf, Düsseldorf, Germany|Universitätsklinik Essen, Essen, Germany|Klinikum Essen-Mitte, Essen, Germany|Krankenhaus Nordwest GmbH, Frankfurt/Main, Germany|Asklepios Fachkliniken München-Gauting, Gauting, Germany|Schwerpunktpraxis Onkologie, Goslar, Germany|Universitätsklinikum der Ernst-Moritz Arndt Universität Greifswald, Greifswald, Germany|Krankenhaus Großhansdorf, Großhansdorf, Germany|Georg-August-Universität Göttingen, Göttingen, Germany|Allgemeines Krankenhaus Harburg, Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Thoraxklinik am Universitätsklinikum Heidelberg, Heidelberg, Germany|Lungenklinik Hemer, Hemer, Germany|Universitätsklinik des Saarlandes, Homburg/Saar, Germany|Klinikum der Friedrich-Schiller-Universität, Jena, Germany|Klinikum Kassel, Kassel, Germany|Malteser Krankenhaus St. Hildegardis Köln, Köln, Germany|Klinikum Leverkusen gGmbH, Leverkusen, Germany|Klinik Löwenstein gGmbH, Loewenstein, Germany|Universitätsklinikum Schleswig-Holstein, Lübeck, Germany|Katholisches Klinikum Mainz, Mainz, Germany|Klinikum der Johannes Gutenberg-Universität Mainz, Mainz, Germany|Universitätsklinikum Mannheim gGmbH, Mannheim, Germany|Zweckverband Kliniken im Mühlenkreis, Minden, Germany|Medizinische Klinik - Innenstadt, München, Germany|Ruppiner Kliniken GmbH, Neuruppin, Germany|Johanniter-Krankenhaus im Fläming gGmbH, Treuenbrietzen, Germany|Universitätsklinikum Ulm, Ulm, Germany",,https://ClinicalTrials.gov/show/NCT00678964,2.0,erlotinib,vinorelbine and carboplatin,1,1,False,False,erlotinib,vinorelbine and carboplatin,False,False,1.0,1.0,TRUE,
16,177,699,700,NCT00940875,A Study of Tarceva (Erlotinib) in Sequential Combination With Gemcitabine as First Line Therapy in Patients With Advanced Non-Small Cell Lung Cancer,,Terminated,Has Results,Non-Small Cell Lung Cancer,Drug: erlotinib [Tarceva]|Drug: gemcitabine,Percentage of Participants With Disease Progression or Death|PFS|Percentage of Participants Who Achieved Confirmed Complete Response (CR) or Partial Response (PR) According to RECIST V 1.0|Percentage of Participants With Non-Progression at Weeks 8 and 16|Percentage of Participants Who Died|Overall Survival (OS)|Duration of Response,Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 2,54,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML22429,9-Jun,11-Sep,11-Sep,16-Jul-09,2-Apr-15,2-Apr-15,"Port Macquarie, New South Wales, Australia|Randwick, New South Wales, Australia|Sydney, New South Wales, Australia|Sydney, New South Wales, Australia|Tweed Heads, New South Wales, Australia|Wollongong, New South Wales, Australia|Brisbane, Queensland, Australia|Greenslopes, Queensland, Australia|Woolloongabba, Queensland, Australia|Richmond, South Australia, Australia|Terrace Gardens, South Australia, Australia|Hobart, Tasmania, Australia|Bendigo, Victoria, Australia|Heidelberg, Victoria, Australia|Melbourne, Victoria, Australia|Wodonga, Victoria, Australia|Fremantle, Western Australia, Australia",,https://ClinicalTrials.gov/show/NCT00940875,2.0,erlotinib [tarceva],gemcitabine,1,1,False,False,erlotinib [tarceva],gemcitabine,False,False,1.0,1.0,TRUE,
18,183,731,732,NCT00700180,A Study of Avastin (Bevacizumab) in Combination With Carboplatin-Based Chemotherapy in Patients With Advanced or Recurrent Non-Squamous Non-Small Cell Lung Cancer.,,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: bevacizumab [Avastin]|Drug: Carboplatin-based chemotherapy,"Percentage of Participants With a Best Overall Response of Complete Response (CR) or Partial Response (PR) by Dichotomized Baseline Plasma Marker Level|Progression-Free Survival - Percentage of Participants With an Event|Progression-Free Survival - Time to Event|Percentage of Participants With Objective Response|Percentage of Participants With Measurable Disease at Baseline Who Achieved CR, PR, or Stable Disease (SD) for at Least 6 Weeks|Duration of Response - Percentage of Participants With an Event|Duration of Response - Time to Event|Overall Survival - Percentage of Participants With an Event|Overall Survival - Time to Event",Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 2,303,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BO21015|2008-000662-23,8-Sep,12-Sep,12-Sep,18-Jun-08,25-Sep-14,25-Sep-14,"St. Leonards, New South Wales, Australia|Adelaide, South Australia, Australia|Adelaide, South Australia, Australia|Box Hill, Victoria, Australia|Fitzroy, Victoria, Australia|Antwerpen, Belgium|Liege, Belgium|Vancouver, British Columbia, Canada|Toronto, Ontario, Canada|Ostrava, Czech Republic|Praha, Czech Republic|Odense, Denmark|Paris, France|Rouen, France|Bad Berka, Germany|Grosshansdorf, Germany|Hamburg, Germany|Oldenburg, Germany|Hong Kong, Hong Kong|Hong Kong, Hong Kong|Budapest, Hungary|Edeleny, Hungary|Sopron, Hungary|Szombathely, Hungary|Torokbalint, Hungary|Milano, Italy|Milan, Italy|Orbassano, Italy|Roma, Italy|Den Haag, Netherlands|Enschede, Netherlands|Hoorn, Netherlands|Nieuwegein, Netherlands|Rotterdam, Netherlands|Poznan, Poland|Warszawa, Poland|Zabrze, Poland|Arkhangelsk, Russian Federation|Chelyabinsk, Russian Federation|Kazan, Russian Federation|Kazan, Russian Federation|Krasnodar, Russian Federation|Krasnodar, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Saint-Petersburg, Russian Federation|St Petersburg, Russian Federation|Barakaldo, Vizcaya, Spain|Sevilla, Spain|Valencia, Spain|Valencia, Spain|Changhua, Taiwan|Taichung, Taiwan|Taichung, Taiwan|Taichung, Taiwan|Taipei, Taiwan|Aberdeen, United Kingdom|Chelmsford, United Kingdom|London, United Kingdom",,https://ClinicalTrials.gov/show/NCT00700180,2.0,bevacizumab [avastin],carboplatin-based chemotherapy,1,1,False,False,bevacizumab [avastin],carboplatin-based chemotherapy,False,False,1.0,1.0,TRUE,
