,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs,Included,Reason
2,21,22,NCT00553800,Study of Bevacizumab and Erlotinib in Patients With Advanced Non-small Cell Lung Cancer,NSCLC,Unknown status,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: bevacizumab|Drug: Erlotinib,Efficacy measure is progression free survival defined as the time from enrollment to documented progression of disease by radiologic imaging.|toxicity,"Fox Chase Cancer Center|Genentech, Inc.|OSI Pharmaceuticals",All,70 Years and older   (Older Adult),Phase 2,33,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FER-TH-007,7-Mar,13-Oct,17-Apr,6-Nov-07,,5-Feb-16,"AtlantiCare Regional Medical Center, Galloway, New Jersey, United States|Fox Chase Virtua Health Cancer Program at Memorial, Mount Holly, New Jersey, United States|Paoli Hospital, Paoli, Pennsylvania, United States|Abramson Cnacer Center, University of Pennsylvania, Philadelphia, Pennsylvania, United States|Pennsylvania Oncology Hematology Associates, Philadelphia, Pennsylvania, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|Grand View Hospital, Sellersville, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT00553800,2,bevacizumab,erlotinib,1,1,FALSE,FALSE,FALSE,FALSE,bevacizumab,erlotinib,1,1,TRUE,
9,49,50,NCT00048087,Iressa/Docetaxel in Non-Small-Cell Lung Cancer,,Withdrawn,No Results Available,Non-small Cell Lung Cancer,Drug: ZD1839|Drug: Docetaxel,Patient Response Rate to Iressa/Docetaxel,M.D. Anderson Cancer Center|AstraZeneca|Aventis Pharmaceuticals,All,"Child, Adult, Older Adult",Phase 2,0,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ID02-004,2-Aug,3-Jul,3-Jul,25-Oct-02,,31-Jul-12,"UT MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00048087,2,zd1839,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,iressa,docetaxel,1,1,TRUE,
29,145,146,NCT00434668,Evaluation of Tolerability of Adjuvant Cisplatin/Docetaxel in Completely Resected Stage IB/II Non-Small Cell Lung Cancer,TOLEDO,Completed,No Results Available,Non-small Cell Lung Cancer,Drug: cisplatin/docetaxel|Drug: cisplatin/vinorelbine,Success of delivery treatment; data collected during chemotherapy treatment|Toxicity (occurrence of any grade 4 toxicity); data collected at the end of each cycle|Overall toxicity|Progression free survival and overall survival,"University Hospital, Antwerp|Universiteit Antwerpen|Sanofi",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,99,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TOGA 0501|Eudra CT 2005-004029-24,5-Dec,10-Sep,10-Nov,13-Feb-07,,30-Nov-10,"ZNA Middelheim, Antwerpen, Antwerp, Belgium|University Hospital Antwerp, Edegem, Antwerp, Belgium|St Augustinus ziekenhuis, Wilrijk, Antwerp, Belgium",,https://ClinicalTrials.gov/show/NCT00434668,2,cisplatin/docetaxel,cisplatin/vinorelbine,1,1,FALSE,FALSE,FALSE,FALSE,cisplatin/docetaxel,cisplatin/vinorelbine,1,1,FALSE,Cisplatin is not an approved drug
42,190,191,NCT02521051,"Phase I/II Trial of Alectinib and Bevacizumab in Patients With Advanced, Anaplastic Lymphoma Kinase (ALK)-Positive, Non-Small Cell Lung Cancer",,Recruiting,No Results Available,Non-Small Cell Lung Cancer (NSCLC),Drug: Alectinib|Drug: Bevacizumab,"Recommended phase II dose of the combination of Alectinib and Bevacizumab|Number of participants treated with the combination of alectinib and bevacizumab with adverse events|Central nervous system objective response rate|Central nervous system disease control rate|Central nervous system progression-free survival|Overall objective response rate|Overall disease control rate|Progression-free survival|Quality of life: change from baseline to on-treatment, measured by the European Organization for Research and Treatment of Cancer (EORTC) quality of life questionnaire (QLQ)-C30|Quality of life: change from baseline and on-treatment, measured by the European Organization for Research and Treatment of Cancer (EORTC) quality of life questionnaire (QLQ)-BN20|Number of patients with an ALK resistance mutation","Massachusetts General Hospital|Genentech, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,43,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-055,15-Oct,19-Oct,22-Jun,13-Aug-15,,28-Feb-19,"Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT02521051,2,alectinib,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,alectinib,bevacizumab,1,1,TRUE,
55,229,230,NCT00769067,A Randomized Trial Of PF-00299804 Taken Orally Versus Erlotinib Taken Orally For Treatment Of Advanced Non-Small Cell Lung Cancer That Has Progressed After One Or Two Prior Chemotherapy Regimen,,Completed,Has Results,Non-small Cell Lung Cancer,Drug: Erlotinib|Drug: PF-00299804,Progression-Free Survival (PFS)|Categorical Summary of Overall Scale Change in European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire-Core 30 (EORTC QLQ-C30)|Categorical Summary of Overall Scale Change in European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire Lung Cancer Module (EORTC QLQ-LC13)|Dermatology Life Quality Index (DLQI)|Percentage of Participants With Objective Response|Best Overall Response (BOR)|Duration of Response (DR)|Overall Survival (OS),Pfizer,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 2,188,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,A7471028|2008-005235-14,8-Nov,10-Oct,14-Aug,8-Oct-08,21-Aug-15,7-Oct-15,"Northwest Alabama Cancer Center, Muscle Shoals, Alabama, United States|Agajanian Institute of Oncology and Hematology, Montebello, California, United States|Bridgeport Hospital, Bridgeport, Connecticut, United States|Wittingham Cancer Center @ Norwalk Hospital, Norwalk, Connecticut, United States|Medical Oncology & Hematology, P.C., Waterbury, Connecticut, United States|Winship Cancer Institute at Grady Health Systems, Atlanta, Georgia, United States|Winship Cancer Institute, Emory University, Atlanta, Georgia, United States|Winship Cancer Institute at Emory University, Atlanta, Georgia, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|Winship Cancer Institute, Emory University, Atlanta, Georgia, United States|Augusta Oncology Associates, P.C., Augusta, Georgia, United States|Augusta Oncology Associates, PC, Augusta, Georgia, United States|John B. Amos Cancer Center, Columbus, Georgia, United States|Georgia Cancer Specialists, Decatur, Georgia, United States|The Longstreet Cancer Center, Gainesville, Georgia, United States|Central Georgia Cancer Care, P.C., Macon, Georgia, United States|Northwest Georgia Oncology Center, Marietta, Georgia, United States|Central Georgia Cancer Care, P.C., Warner Robins, Georgia, United States|Kootenai Cancer Center at Post Falls, Post Falls, Idaho, United States|Kootenai Cancer Center, Post Falls, Idaho, United States|Midwestern Regional Medical Center, Zion, Illinois, United States|Center for Blood and Cancer Disorders, Bethesda, Maryland, United States|Associates in Oncology/Hematology, PC, Rockville, Maryland, United States|University of Minnesota Cancer Center, Minneapolis, Minnesota, United States|The West Clinic, Memphis, Tennessee, United States|Oncology/Hematology Associates, Clarksburg, West Virginia, United States|Chris O'Brien Lifehouse, Camperdown, New South Wales, Australia|St. Vincent's Hospital, Fitzroy, Victoria, Australia|The Andrew Love Cancer Centre,, Geelong, Victoria, Australia|Border Medical Oncology, Wodonga, Victoria, Australia|Irmandade da Santa Casa de Misericordia de Porto Alegre (ISCMPA) - Hospital Santa Rita, Porto Alegre, RS, Brazil|Hospital Sao Lucas da PUCRS, Porto Alegre, RS, Brazil|FUNDACAO PIO XII Hospital de Cancer de Barretos, Barretos, SP, Brazil|Instituto do Câncer do Estado de São Paulo Octavio Frias de Oliveira - ICESP, Sao Paulo, SP, Brazil|BC Cancer Agency - Vancouver Centre, Vancouver, British Columbia, Canada|Royal Victoria Hospital, Barrie, Ontario, Canada|RSM Durham Regional Cancer Centre - Lakeridge Health Oshawa, Oshawa, Ontario, Canada|The Ottawa Hospital Cancer Centre, Ottawa, Ontario, Canada|Department of Clinical Oncology, Shatin, New Territories, Hong Kong|Department of Clinical Oncology, Tuen Mun Hospital, Tuen Mun, New Territories, Hong Kong|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Yonsei University College of Medicine, Yonsei Cancer Center, Seoul, Korea, Republic of|SamsungMedicalCenter,SungkyunkwanUnivSchoolofMedicine,Div. of Hematology-Oncology, Dep. of Medicine, Seoul, Korea, Republic of|Medex spolka cywilna, Chrzanow, Poland|¿KardioDent¿, Krakow, Poland|""Vesalius"" Sp. z o.o., Krakow, Poland|Zaklad Rentgena i USG Wyrobek spolka jawna, Krakow, Poland|Centrum Onkologii-Instytut im. Marii Sklodowskiej-Curie, Warsaw, Poland|Niepubliczny Zaklad Opieki Zdrowotnej AVI Centrum Medyczne, Warszawa, Poland|Ponce School of Medicine / CAIMED Center, Ponce, Puerto Rico|National Cancer Centre, Singapore, Singapore|Hospital Universitari Germans Trias I Pujol, Badalona, Barcelona, Spain|Hospital Son Llatzer, Palma de Mallorca, Islas Baleares, Spain|Hospital de Cruces, Barakaldo, Vizcaya, Spain|Hospital Teresa Herrera, La Coruña, Spain|National Taiwan University Hospital, Taipei, Taiwan|Taipei Veterans General Hospital, Chest Department, Taipei, Taiwan|Christie Hospital NHS Foundation Trust, Manchester, United Kingdom|Churchill Hospital, Oxford, United Kingdom",,https://ClinicalTrials.gov/show/NCT00769067,2,erlotinib,pf-00299804,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,dacomitinib,1,1,TRUE,
71,308,309,NCT03087448,Ceritinib + Trametinib in Patients With Advanced ALK-Positive Non-Small Cell Lung Cancer (NSCLC),,Recruiting,No Results Available,Non-small Cell Lung Cancer,Drug: Ceritinib|Drug: Trametinib,"Maximum tolerated dose (MTD) of the combination of ceritinib and trametinib in advanced ALK-rearranged, or ROS-1 rearranged NSCLC, by number of Adverse Events (AEs)|Overall response rate (ORR) with combination ceritinib + trametinib in patients with Stage IIIB or IV ALK-rearranged NSCLC|Disease control rate (DCR) with combination ceritinib + trametinib in patients with Stage IIIB or IV ALK-rearranged NSCLC|Progression-free survival (PFS) with combination ceritinib + trametinib in patients with Stage IIIB or IV ALK-rearranged NSCLC|Overall survival (OS) with combination ceritinib + trametinib in patients with Stage IIIB or IV ALK-rearranged NSCLC|Time to central nervous system (CNS) progression with combination ceritinib + trametinib in patients with Stage IIIB or IV ALK-rearranged NSCLC|Peak plasma concentration (Cmax) of ceritinib + trametinib","University of California, San Francisco|Novartis Pharmaceuticals|University of California, Davis|University of California, Los Angeles|University of California, San Diego|University of California, Irvine",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,69,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CC# 166512,9-Sep-17,20-Mar,21-Mar,22-Mar-17,,24-Oct-18,"UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT03087448,2,ceritinib,trametinib,1,1,FALSE,FALSE,FALSE,FALSE,ceritinib,trametinib,1,1,TRUE,
82,348,349,NCT00430651,Docetaxel and Carboplatin Versus Docetaxel as Second Line Treatment in Patients With Non-Small-Cell Lung Carcinoma (NSCLC),,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: Docetaxel|Drug: Carboplatin,Comparison of the overall survival between the two treatment groups|Comparison of the objective response rates between the two treatment groups|Evaluation and comparison of the toxicity between the two treatment groups|Measurement and comparison of the health-related quality of life of patients on both treatment groups,Hellenic Oncology Research Group|University Hospital of Crete,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,135,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/04.14,4-Jul,8-May,8-May,2-Feb-07,,28-Jan-09,"University Hospital of Crete, Heraklion, Crete, Greece|University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|""IASO"" General Hospital of Athnes, Dep of Medical Oncology, Athens, Greece|""Laikon"" General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|""Sotiria"" General Hospital, 1st, 3rd, 6th, 7th, 8th Dep of Pulmonary Diseases, Athens, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Dep of Pulmonary Diseases, Athens, Greece|""Metaxa's"" Anticancer Hospital of Pireaus, Piraeus, Greece|""Theagenion"" Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00430651,2,docetaxel,carboplatin,1,1,FALSE,FALSE,FALSE,FALSE,docetaxel,carboplatin,1,1,TRUE,
102,403,404,NCT03801304,Trial to Evaluate Safety and Efficacy of Vinorelbine With Metronomic Administration in Combination With Atezolizumab as Second-line Treatment for Patients With Stage IV Non-small Cell Lung Cancer,VinMetAtezo,Recruiting,No Results Available,Non-small Cell Lung Cancer,Drug: Atezolizumab|Drug: Vinorelbine,Occurrence of death or progression of the disease|Emergence of adverse events (Safety and tolerability)|Occurrence of death|Objective Response Rate|Following of the quality of life,"University Hospital, Brest|Groupe Français de Pneumo-Cancérologie|Roche Farma, S.A|Pierre Fabre Medicament",All,"18 Years and older   (Adult, Older Adult)",Phase 2,71,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,29BRC18-0005 (VinMetAtezo),24-Jan-19,24-Jul-20,24-Jul-22,11-Jan-19,,24-Oct-19,"CH Aix en Provence, Aix-en-Provence, France|CHRU de Brest - Hôpital Morvan, Brest, France|CLCC Caen, Caen, France|CH de Créteil, Créteil, France|Ch La Roche Sur Yon, La Roche Sur Yon, France|CHU de Limoges - Hôpital DUPUYTREN, Limoges, France|CH Lorient, Lorient, France|CH MEAUX, Meaux, France|CHU Montpellier, Montpellier, France|CH Pringy, Pringy, France|CH Quimper, Quimper, France|CHU de Rennes, Rennes, France|CHU Rouen, Rouen, France|CH Saint-Brieuc, Saint-Brieuc, France|Hia Saint Anne, Toulon, France|CH Villefranche sur Saône, Villefranche-sur-Saône, France",,https://ClinicalTrials.gov/show/NCT03801304,2,atezolizumab,vinorelbine,1,1,FALSE,FALSE,FALSE,FALSE,atezolizumab,vinorelbine,1,1,TRUE,
103,404,405,NCT00741221,Pemetrexed Plus Bevacizumab in Non Small Cell Lung Cancer,,Completed,No Results Available,Non-small-cell Lung Cancer,Drug: Pemetrexed|Drug: Bevacizumab,Progression Free Survival|Overall response rate|Overall Survival|Quality of life assessment|Toxicity profile,Hellenic Oncology Research Group,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/08.10,8-Jun,16-Oct,16-Oct,26-Aug-08,,4-Oct-16,"University Hospital of Heraklion, Heraklion, Crete, Greece|University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|""Laikon"" General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|IASO"" General Hospital of Athens, 1st Dep of Medical Oncology, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Dep of Pulmonary Diseases, Athens, Greece|Sotiria"" General Hospital, 1st, 3rd, 8th Dep of Pulmonary Diseases, Athens, Greece|""Metaxa's"" Anticancer Hospital of Piraeus,1st Dep of Medical Oncology, Piraeus, Greece|Theagenion"" Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00741221,2,pemetrexed,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,pemetrexed,bevacizumab,1,1,TRUE,
111,424,425,NCT00741195,Docetaxel Plus Bevacizumab in Metastatic Non Small Cell Lung Cancer,,Completed,No Results Available,Non-small-cell Lung Cancer,Drug: Docetaxel|Drug: Bevacizumab,Progression Free Survival|Overall response rate|Overall Survival|Quality of life assessment|Toxicity profile,Hellenic Oncology Research Group,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/08.09,8-Apr,16-Oct,16-Oct,26-Aug-08,,4-Oct-16,"University Hospital of Heraklion, Heraklion, Crete, Greece|University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|""Laikon"" General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|IASO"" General Hospital of Athens, 1st Dep of Medical Oncology, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Dep of Pulmonary Diseases, Athens, Greece|Sotiria"" General Hospital, 1st, 3rd, 8th Dep of Pulmonary Diseases, Athens, Greece|""Metaxa's"" Anticancer Hospital of Piraeus,1st Dep of Medical Oncology, Piraeus, Greece|Theagenion"" Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00741195,2,docetaxel,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,docetaxel,bevacizumab,1,1,TRUE,
