,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs
3,24,25,NCT00112346,Study of Gemcitabine/Platinum +/- Cetuximab as First-Line Treatment for Patients With Advanced/Metastatic Non-Small Cell Lung Cancer,,Completed,No Results Available,Non-Small-Cell Lung Carcinoma,Drug: Cetuximab + platinum + gemcitabine|Drug: Platinum + Gemcitabine,"tumor response per treatment arm|disease control, symptom response, symptomatic progression, & progression free survival.",Eli Lilly and Company,All,"18 Years and older   (Adult, Older Adult)",Phase 2,120.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CA225-100,January 2005,December 2006,December 2006,"June 2, 2005",,"October 28, 2015","Local Institution, Mobile, Alabama, United States|Local Institution, Anchorage, Alaska, United States|Local Institution, Bakersfield, California, United States|Local Institution, Corona, California, United States|Local Institution, Oxnard, California, United States|Local Institution, San Diego, California, United States|Local Institution, Whittier, California, United States|Local Institution, Lakewood, Colorado, United States|Local Institution, Boynton Beach, Florida, United States|Local Institution, Brooksville, Florida, United States|Local Institution, Inverness, Florida, United States|Local Institution, Pembroke Pines, Florida, United States|Local Institution, Austell, Georgia, United States|Local Institution, Honolulu, Hawaii, United States|Local Institution, Skokie, Illinois, United States|Local Institution, Muncie, Indiana, United States|Local Institution, Annapolis, Maryland, United States|Local Institution, Frederick, Maryland, United States|Local Institution, Rockville, Maryland, United States|Local Institution, Plymouth, Massachusetts, United States|Local Institution, Farmington, New Mexico, United States|Local Institution, Armonk, New York, United States|Local Institution, Stony Brook, New York, United States|Local Institution, Gastonia, North Carolina, United States|Local Institution, Wilmington, North Carolina, United States|Local Institution, Bismarck, North Dakota, United States|Local Institution, Cincinnati, Ohio, United States|Local Institution, Portland, Oregon, United States|Local Institution, Charleston, South Carolina, United States|Local Institution, Dallas, Texas, United States|Local Institution, Vancouver, Washington, United States|Local Institution, Edmonton, Alberta, Canada|Local Institution, Moncton, New Brunswick, Canada|Local Institution, Hamilton, Ontario, Canada|Local Institution, Montreal, Ontario, Canada|Local Institution, Toronto, Ontario, Canada|Local Institution, Windsor, Ontario, Canada|Local Institution, Greenfield Park, Quebec, Canada",,https://ClinicalTrials.gov/show/NCT00112346,2,cetuximab + platinum + gemcitabine,platinum + gemcitabine,1,1,False,False,False,False,cetuximab + platinum + gemcitabine,platinum + gemcitabine,1,1
11,65,66,NCT00173888,Docetaxel Plus Cisplatin Followed by Gemcitabine Versus Gemcitabine Plus Cisplatin Followed by Docetaxel for Non-Small Cell Lung Cancer (NSCLC),,Completed,No Results Available,Non-small Cell Lung Cancer,"Drug: Docetaxel, Cisplatin|Drug: Gemcitabine, Cisplatin","The primary objective of this study is to evaluate the 1-year treatment failure rate of two sequential chemotherapy regimens.|To evaluate the response rate for each regimen, the toxicity of each arm, and the duration of response",National Taiwan University Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,15.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,920303,July 2003,November 2012,November 2012,"September 15, 2005",,"December 6, 2012","Department of Oncology, National Taiwan University Hospital, Taipei, Taiwan",,https://ClinicalTrials.gov/show/NCT00173888,2,"docetaxel, cisplatin","gemcitabine, cisplatin",1,1,False,False,False,False,"docetaxel, cisplatin","gemcitabine, cisplatin",1,1
20,113,114,NCT00950365,Pharmacodynamic Separation of Pemetrexed and Erlotinib as Second-line Therapy in Patients With Advanced Non-small Cell Lung Cancer (NSCLC),,Unknown status,No Results Available,Non-small Cell Lung Cancer,Drug: Pemetrexed|Drug: pemetrexed and erlotinib,Progression-free survival|Objective response rate|Disease control rate|Safety profile of pemetrexed and erlotinib combination|Assessment of molecular markers for biologic effects and predictive response,Montefiore Medical Center|Eli Lilly and Company|OSI Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 2,82.0,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pemetrexed/Erlotinib,May 2006,May 2011,,"July 31, 2009",,"July 31, 2009","University of Massachusetts, Worcester, Massachusetts, United States|Albert Einstein Cancer Center, Bronx, New York, United States|Montefiore Medical Center, Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT00950365,2,pemetrexed,pemetrexed and erlotinib,1,1,False,False,False,False,pemetrexed,pemetrexed and erlotinib,1,1
33,158,159,NCT00771563,Enoxaparin Low Molecular Weight Heparin (LMWH) in Advanced Non Small Cell Lung Cancer: Effect on Survival and Symptom Control in Patients Undergoing First Line Chemotherapy (SYRINGES),SYRINGES,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: cisplatin + docetaxel|Drug: cisplatin + docetaxel + enoxaparin,Progression Free Survival|Symptom control evaluated with the Lung Cancer Symptoms Scale (LCSS)|Overall Survival|Best Overall Response|Incidence of total documented thromboembolic and hemorrhagic events|Overall safety and tolerability,"University Hospital, Antwerp|Universiteit Antwerpen",All,"18 Years and older   (Adult, Older Adult)",Phase 3,104.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TOGA 0601|EudraCT 2007-007696-16,June 2008,October 2012,October 2012,"October 13, 2008",,"June 28, 2013","University Hospital Antwerp, Edegem, Antwerp, Belgium|Centre Hospitalier Universitaire Sart Tilman, Liège, Belgium",,https://ClinicalTrials.gov/show/NCT00771563,2,cisplatin + docetaxel,cisplatin + docetaxel + enoxaparin,1,1,False,False,False,False,cisplatin + docetaxel,cisplatin + docetaxel + enoxaparin,1,1
52,225,226,NCT00702182,Study of Oral Vinorelbine and Erlotinib in Non-Small Cell Lung Cancer,,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: Vinorelbine (Navelbine)|Drug: Erlotinib,Define the recommended dose of oral navelbine with erlotinib,"National Cancer Centre, Singapore",All,"21 Years and older   (Adult, Older Adult)",Phase 1,30.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EPCTG-VEP1,April 2008,April 2012,October 2012,"June 20, 2008",,"October 19, 2012","National Cancer Center Singapore, Singapore, Singapore",,https://ClinicalTrials.gov/show/NCT00702182,2,vinorelbine (navelbine),erlotinib,1,1,False,False,False,False,vinorelbine (navelbine),erlotinib,1,1
56,230,231,NCT00440414,Trial of Pemetrexed Versus Erlotinib in Pretreated Patients With Non Small Cell Lung Cancer (NSCLC),,Completed,No Results Available,Non Small Cell Lung Cancer,Drug: Erlotinib (Tarceva)|Drug: Pemetrexed (Alimta),Time to Tumor Progression|Overall response rate|Overall survival between the two treatment arms|Quality of life assessment|Toxicity profile between the two treatment arms,Hellenic Oncology Research Group|University Hospital of Crete,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,320.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/06.05,April 2006,April 2010,April 2010,"February 27, 2007",,"August 19, 2010","University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|IASO General Hospital of Athens, 1st Department of Medical Oncology, Athens, Greece|Laikon General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Department of Pulmonary Diseases, Athens, Greece|Sotiria General Hospital, 1st, 3rd, 8th Dep of Pulmonary Diseases, Athens, Greece|Metaxa's Anticancer Hospital of Piraeus,1st Dep of Medical Oncology, Piraeus, Greece|Theagenion Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00440414,2,erlotinib (tarceva),pemetrexed (alimta),1,1,False,False,False,False,erlotinib (tarceva),pemetrexed (alimta),1,1
75,329,330,NCT00871403,Study of Pazopanib and Pemetrexed in Advanced Non-small Cell Lung Cancer,,Completed,Has Results,"Lung Cancer, Non-Small Cell",Drug: pazopanib and pemetrexed|Drug: pemetrexed and cisplatin,"Progression-free Survival (PFS)|Overall Survival (OS)|Best Overall Response, Assessed as the Number of Participants With the Indicated Tumor Response: Investigator Assessed Only|Percentage of Participants With a Complete Response or a Partial Response",GlaxoSmithKline,All,"18 Years and older   (Adult, Older Adult)",Phase 2,107.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,111128,July 2009,March 2011,March 2011,"March 30, 2009","February 16, 2012","June 20, 2013","GSK Investigational Site, Herlev, Denmark|GSK Investigational Site, Sutton, Surrey, United Kingdom",,https://ClinicalTrials.gov/show/NCT00871403,2,pazopanib and pemetrexed,pemetrexed and cisplatin,1,1,False,False,False,False,pazopanib and pemetrexed,pemetrexed and cisplatin,1,1
76,333,334,NCT03624309,Anlotinib Plus Docetaxel for the Treatment of EGFR Wild-type Advanced Non-small-cell Lung Cancer,,Not yet recruiting,No Results Available,Non-small Cell Lung Cancer,Drug: Anlotinib Plus Docetaxel|Drug: Docetaxel,PFS|OS|ORR|DCR|Safety (Number of Participants with Adverse Events as a Measure of Safety and Tolerability),Hunan Cancer Hospital,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,84.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ALTER-L018,"October 15, 2018","October 1, 2019","October 1, 2020","August 10, 2018",,"September 17, 2018",,,https://ClinicalTrials.gov/show/NCT03624309,2,anlotinib plus docetaxel,docetaxel,1,1,False,False,False,False,anlotinib plus docetaxel,docetaxel,1,1
86,368,369,NCT00908336,Erlotinib and Docetaxel in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) After Failure of One Chemotherapy Regimen,,Unknown status,No Results Available,Non-Small Cell Lung Cancer,Drug: Docetaxel and Erlotinib|Drug: Erlotinib,Percentage of patients without disease progression after 6 months of treatment.|Progression-free survival|Duration of Response|Overall Response Rate|Disease Control Rate|Overall survival|Safety profile,Hospital Arnau de Vilanova,All,"18 Years and older   (Adult, Older Adult)",Phase 2,70.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML25033,March 2009,August 2010,December 2010,"May 25, 2009",,"May 25, 2009","Hospital Virgen de los Lirios, Alcoy, Alicante, Spain|Hospital Clínica de Benidorm, Benidorm, Alicante, Spain|Hospital General de Elda, Elda, Alicante, Spain|Hospital Provincial de Castellón, Castellón de la Plana, Castellón, Spain|Hospital de Sagunto, Sagunto, Valencia, Spain|Hospital San Juan de Alicante, Alicante, Spain|Hospital Arnau de Vilanova, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT00908336,2,docetaxel and erlotinib,erlotinib,1,1,False,False,False,False,docetaxel and erlotinib,erlotinib,1,1
128,477,478,NCT01652820,Chemotherapy/Radiotherapy Versus Concomitant Chemotherapy Followed by Radiotherapy in Stage IIIB Non-small Cell Lung Cancer,GECP0008,Completed,No Results Available,Non Small-cell Lung Cancer,"Drug: Docetaxel 20mg/m2/week + carboplatin AUC 2/weekly - concomitant chemoradiation 2Gy/day|Drug: Docetaxel 40mg<7m2 d1,8, 21, 28+ gemcitabine 1200mg/m2 d1,8, 21, 28 + concomitant docetaxel 20mg/m2/w+carboplatin AUC 2/w+ concomitant RDT 2Gy/d",Overall response rate|Local control rate at 1 year|Time to progression|Overall Survival,Spanish Lung Cancer Group|Aventis Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 2,140.0,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GECP 00-08 / TAX.ES1.209,October 2001,July 2006,December 2007,"July 30, 2012",,"July 30, 2012",,,https://ClinicalTrials.gov/show/NCT01652820,2,docetaxel 20mg/m2/week + carboplatin auc 2/weekly - concomitant chemoradiation 2gy/day,"docetaxel 40mg<7m2 d1,8, 21, 28+ gemcitabine 1200mg/m2 d1,8, 21, 28 + concomitant docetaxel 20mg/m2/w+carboplatin auc 2/w+ concomitant rdt 2gy/d",1,1,False,False,False,False,docetaxel 20mg/m2/week + carboplatin auc 2/weekly - concomitant chemoradiation 2gy/day,"docetaxel 40mg<7m2 d1,8, 21, 28+ gemcitabine 1200mg/m2 d1,8, 21, 28 + concomitant docetaxel 20mg/m2/w+carboplatin auc 2/w+ concomitant rdt 2gy/d",1,1
